# Removed peaks with intensities less than 273000, which is 5.0% of the maximum intensity
"M/Z","INTENSITY","RETENTION TIME (MIN)"
179.0882,353000,nan
207.0774,585000,nan
207.0837,1280000,nan
207.0900,487000,nan
207.1151,273000,nan
207.1214,435000,nan
209.0998,325000,nan
211.0749,335000,nan
211.0812,346000,nan
220.0906,571000,nan
220.0971,307000,nan
221.0961,325000,nan
224.0804,290000,nan
224.0869,484000,nan
225.0883,391000,nan
225.0949,615000,nan
235.0713,742000,nan
235.0780,2000000,nan
235.0847,746000,nan
235.0914,1440000,nan
235.0981,1880000,nan
235.1048,665000,nan
235.1115,1280000,nan
235.1182,1690000,nan
236.0836,454000,nan
236.1171,350000,nan
236.1238,274000,nan
237.0912,611000,nan
237.0979,561000,nan
238.1010,469000,nan
239.0657,318000,nan
239.0725,688000,nan
239.0792,297000,nan
239.0860,409000,nan
239.0928,710000,nan
239.0995,528000,nan
239.1063,1030000,nan
239.1130,1130000,nan
241.0891,325000,nan
248.0833,1050000,nan
248.0902,1040000,nan
249.0887,361000,nan
249.0956,394000,nan
252.0754,351000,nan
252.0823,577000,nan
252.0893,316000,nan
253.0818,330000,nan
253.0888,706000,nan
253.0957,405000,nan
254.0903,290000,nan
254.0973,462000,nan
257.0788,356000,nan
257.0858,546000,nan
263.1009,395000,nan
263.1080,2500000,nan
263.1151,1800000,nan
264.1078,296000,nan
264.1150,606000,nan
264.1220,291000,nan
265.0883,306000,nan
266.0919,283000,nan
266.0990,384000,nan
267.0974,1170000,nan
267.1045,5460000,nan
267.1116,2660000,nan
267.1188,441000,nan
268.1047,718000,nan
268.1119,947000,nan
268.1190,337000,nan
271.0951,1470000,nan
271.1023,2380000,nan
271.1095,554000,nan
272.1028,371000,nan
280.1073,396000,nan
280.1146,621000,nan
281.1170,628000,nan
281.1243,590000,nan
283.0976,934000,nan
283.1049,833000,nan
284.1053,901000,nan
284.1126,654000,nan
285.1147,476000,nan
286.1185,352000,nan
286.1259,398000,nan
295.1349,750000,nan
295.1424,528000,nan
299.1250,858000,nan
299.1325,1970000,nan
299.1401,656000,nan
300.1380,279000,nan
317.1396,346000,nan
317.1473,291000,nan
