# Removed peaks with intensities less than 110000, which is 5.0% of the maximum intensity
"M/Z","INTENSITY","RETENTION TIME (MIN)"
115.0534,212000,nan
115.0581,257000,nan
127.0533,117000,nan
127.0583,131000,nan
128.0596,193000,nan
128.0646,368000,nan
128.0695,145000,nan
129.0699,224000,nan
129.0748,171000,nan
139.0555,245000,nan
139.0607,157000,nan
140.0616,184000,nan
140.0668,160000,nan
141.0662,183000,nan
141.0714,505000,nan
141.0766,283000,nan
151.0567,212000,nan
152.0567,190000,nan
152.0621,1260000,nan
152.0675,1110000,nan
152.0729,149000,nan
153.0655,368000,nan
153.0709,1200000,nan
153.0763,635000,nan
154.0722,123000,nan
154.0776,233000,nan
154.0831,128000,nan
155.0496,177000,nan
155.0550,143000,nan
155.0876,127000,nan
157.0683,152000,nan
164.0632,110000,nan
165.0661,512000,nan
165.0717,2200000,nan
165.0773,1080000,nan
166.0720,233000,nan
166.0776,633000,nan
166.0833,376000,nan
167.0810,204000,nan
167.0866,525000,nan
167.0923,314000,nan
168.0534,235000,nan
168.0591,618000,nan
168.0647,322000,nan
169.0627,293000,nan
169.0684,379000,nan
169.0741,127000,nan
176.0618,222000,nan
176.0676,222000,nan
177.0658,183000,nan
177.0716,435000,nan
177.0775,238000,nan
178.0727,336000,nan
178.0785,1890000,nan
178.0843,1290000,nan
178.0902,119000,nan
179.0824,524000,nan
179.0882,800000,nan
179.0941,255000,nan
181.0633,706000,nan
181.0692,1080000,nan
181.0751,288000,nan
182.0697,257000,nan
182.0755,319000,nan
182.0814,116000,nan
183.0788,129000,nan
183.0847,138000,nan
184.0492,148000,nan
184.0551,236000,nan
185.0579,163000,nan
185.0638,202000,nan
189.0660,187000,nan
189.0720,465000,nan
189.0780,261000,nan
190.0763,277000,nan
190.0823,299000,nan
191.0832,376000,nan
191.0892,603000,nan
191.0952,218000,nan
192.0927,162000,nan
192.0988,116000,nan
193.0685,135000,nan
194.0712,209000,nan
194.0772,259000,nan
195.0764,248000,nan
195.0825,619000,nan
195.0886,328000,nan
196.0536,240000,nan
196.0597,153000,nan
196.0903,154000,nan
197.0578,278000,nan
197.0639,377000,nan
197.0701,137000,nan
198.0646,131000,nan
198.0707,173000,nan
202.0738,158000,nan
202.0800,333000,nan
202.0862,183000,nan
203.0871,133000,nan
205.0649,440000,nan
205.0711,417000,nan
206.0731,213000,nan
206.0793,137000,nan
207.0774,208000,nan
207.0837,333000,nan
207.0900,151000,nan
209.0619,161000,nan
210.0672,127000,nan
210.0735,114000,nan
211.0749,181000,nan
211.0812,171000,nan
212.0468,128000,nan
212.0532,117000,nan
213.0529,112000,nan
213.0592,136000,nan
219.0810,249000,nan
219.0874,203000,nan
221.0636,133000,nan
222.0713,138000,nan
223.0747,212000,nan
223.0812,220000,nan
224.0869,111000,nan
235.0780,113000,nan
