# Removed peaks with intensities less than 96000, which is 5.0% of the maximum intensity
"M/Z","INTENSITY","RETENTION TIME (MIN)"
153.0709,158000,nan
153.0763,108000,nan
165.0661,164000,nan
165.0717,437000,nan
165.0773,243000,nan
166.0776,236000,nan
166.0833,178000,nan
167.0810,99100,nan
167.0866,224000,nan
167.0923,137000,nan
168.0591,122000,nan
178.0727,151000,nan
178.0785,557000,nan
178.0843,417000,nan
179.0824,666000,nan
179.0882,1680000,nan
179.0941,596000,nan
180.0891,195000,nan
180.0949,202000,nan
181.0633,342000,nan
181.0692,448000,nan
181.0751,138000,nan
181.0986,110000,nan
181.1045,162000,nan
182.0697,152000,nan
182.0755,208000,nan
183.0788,182000,nan
183.0847,216000,nan
189.0720,127000,nan
191.0832,216000,nan
191.0892,327000,nan
191.0952,133000,nan
192.0867,103000,nan
192.0927,409000,nan
192.0988,401000,nan
193.0625,113000,nan
193.0685,155000,nan
193.0989,160000,nan
193.1049,182000,nan
194.0712,189000,nan
194.0772,214000,nan
195.0764,230000,nan
195.0825,580000,nan
195.0886,307000,nan
196.0536,191000,nan
196.0597,106000,nan
196.0842,263000,nan
196.0903,566000,nan
196.0964,278000,nan
197.0578,187000,nan
197.0639,229000,nan
197.0946,146000,nan
197.1007,130000,nan
198.0646,149000,nan
198.0707,230000,nan
198.0768,108000,nan
199.0739,121000,nan
199.0800,120000,nan
202.0738,149000,nan
202.0800,341000,nan
202.0862,197000,nan
203.0808,100000,nan
203.0871,168000,nan
205.0649,336000,nan
205.0711,313000,nan
206.0668,130000,nan
206.0731,397000,nan
206.0793,297000,nan
207.0774,816000,nan
207.0837,1920000,nan
207.0900,678000,nan
207.0963,157000,nan
207.1151,155000,nan
207.1214,249000,nan
208.0842,325000,nan
208.0905,442000,nan
208.0968,167000,nan
209.0556,117000,nan
209.0619,236000,nan
209.0682,130000,nan
209.0871,101000,nan
209.0935,287000,nan
209.0998,439000,nan
209.1061,167000,nan
210.0672,309000,nan
210.0735,280000,nan
210.0798,110000,nan
210.1051,98000,nan
211.0685,158000,nan
211.0749,901000,nan
211.0812,922000,nan
211.0876,233000,nan
211.1129,101000,nan
212.0786,171000,nan
212.0850,225000,nan
212.0913,97900,nan
213.0529,98500,nan
213.0592,114000,nan
213.0911,146000,nan
213.0975,116000,nan
217.1009,151000,nan
217.1073,142000,nan
219.0745,135000,nan
219.0810,516000,nan
219.0874,432000,nan
219.0939,97500,nan
220.0841,318000,nan
220.0906,737000,nan
220.0971,357000,nan
221.0571,141000,nan
221.0636,206000,nan
221.0701,106000,nan
221.0896,123000,nan
221.0961,279000,nan
221.1026,206000,nan
222.0647,163000,nan
222.0713,219000,nan
222.0778,105000,nan
223.0682,124000,nan
223.0747,642000,nan
223.0812,702000,nan
223.0878,188000,nan
224.0739,99800,nan
224.0804,741000,nan
224.0869,1420000,nan
224.0935,462000,nan
225.0556,138000,nan
225.0752,99400,nan
225.0818,148000,nan
225.0883,450000,nan
225.0949,553000,nan
225.1015,179000,nan
226.0592,142000,nan
226.0657,228000,nan
226.0723,143000,nan
226.0986,130000,nan
227.0650,123000,nan
227.0716,299000,nan
227.0781,222000,nan
228.0796,155000,nan
228.0862,96800,nan
233.0601,132000,nan
233.0667,120000,nan
234.0680,293000,nan
234.0746,250000,nan
235.0713,439000,nan
235.0780,1210000,nan
235.0847,638000,nan
235.0914,402000,nan
235.0981,286000,nan
235.1048,123000,nan
235.1115,298000,nan
235.1182,367000,nan
236.0768,168000,nan
236.0836,336000,nan
236.0903,218000,nan
237.0576,133000,nan
237.0778,114000,nan
237.0845,217000,nan
237.0912,628000,nan
237.0979,564000,nan
237.1047,131000,nan
238.0943,234000,nan
238.1010,453000,nan
238.1078,225000,nan
239.0657,294000,nan
239.0725,867000,nan
239.0792,542000,nan
239.0860,408000,nan
239.0928,340000,nan
239.0995,171000,nan
239.1063,311000,nan
239.1130,358000,nan
240.0730,174000,nan
240.0797,297000,nan
240.0865,171000,nan
241.0823,245000,nan
241.0891,425000,nan
241.0959,214000,nan
242.0598,123000,nan
243.0666,170000,nan
243.0734,141000,nan
247.0731,122000,nan
247.0800,179000,nan
248.0764,108000,nan
248.0833,419000,nan
248.0902,391000,nan
248.0971,103000,nan
249.0887,176000,nan
249.0956,199000,nan
250.0685,99900,nan
251.0640,121000,nan
251.0709,411000,nan
251.0778,362000,nan
251.0848,140000,nan
252.0754,405000,nan
252.0823,676000,nan
252.0893,309000,nan
252.0962,121000,nan
253.0818,264000,nan
253.0888,481000,nan
253.0957,242000,nan
254.0903,144000,nan
254.0973,176000,nan
255.0589,118000,nan
255.0659,438000,nan
255.0729,409000,nan
255.0799,167000,nan
256.0714,255000,nan
256.0783,285000,nan
256.0853,116000,nan
257.0788,241000,nan
257.0858,320000,nan
257.0928,132000,nan
263.1080,236000,nan
263.1151,184000,nan
265.0811,113000,nan
265.0883,271000,nan
265.0954,198000,nan
266.0919,140000,nan
266.0990,155000,nan
267.0974,317000,nan
267.1045,828000,nan
267.1116,446000,nan
268.0761,105000,nan
268.1047,116000,nan
268.1119,123000,nan
269.0782,212000,nan
269.0854,337000,nan
269.0925,187000,nan
270.0893,125000,nan
271.0951,317000,nan
271.1023,408000,nan
271.1095,145000,nan
283.0902,122000,nan
283.0976,398000,nan
283.1049,333000,nan
284.1053,153000,nan
284.1126,104000,nan
